,t.x,t.y,t.z,r.x,r.y,r.z,r.w
tag_0,-0.281851638709757,-0.23793453605711057,2.094338096361416,0.943695097192901,0.011200690479785152,-0.3243247547602558,-0.06424352215721121
tag_1,0.42757431800394585,-0.26384405497994656,2.1392415510990546,0.9722348758386744,-0.020841393966083338,0.22437394034547298,-0.06309240609318895
tag_2,-0.9723060555297632,-0.34229464535174814,2.0000422364438473,0.9771362813724924,0.005396083036596987,-0.034268421537142504,0.209764451366851
