,x,y,z
normal_1,-0.7285418386816214,-0.032821191595685,0.6842145560221893
normal_2,-0.9827979824320181,0.15529428472499154,-0.09995904591035244
normal_3,-0.9385766154710637,-0.34101247956422903,-0.05276765744600359
intersection,0.9989459558739089,-0.011515219960448908,-0.06935260298284096
