,nx,ny,nz,d
tag0,-0.6135667088672516,0.11398730915914113,-0.781372374172819,1.4906446658436932
tag1,0.43891849963240054,0.11332881927742859,-0.8913512940483265,1.7490465819386989
tag2,-0.06470603095709411,-0.4103067917366668,-0.909649089601338,1.615976716053575
