x,y,z
1.10037,-0.246329,-0.20786
1.08513,-0.246811,-0.205173
1.05076,-0.242647,-0.198906
1.05947,-0.248618,-0.200697
1.05859,-0.252315,-0.200697
1.06725,-0.25838,-0.202487
1.07112,-0.263307,-0.203383
1.07496,-0.268263,-0.204278
1.07781,-0.277013,-0.205173
1.08159,-0.282043,-0.206069
1.0806,-0.285817,-0.206069
1.08332,-0.294673,-0.206964
1.09175,-0.301123,-0.208755
1.09543,-0.306284,-0.20965
1.09907,-0.311474,-0.210546
1.10742,-0.318078,-0.212337
1.11102,-0.323343,-0.213232
1.11459,-0.328637,-0.214127
1.11344,-0.332525,-0.214127
1.11567,-0.342147,-0.215023
1.11447,-0.346039,-0.215023
1.11794,-0.351429,-0.215918
1.1167,-0.355329,-0.215918
1.11546,-0.359225,-0.215918
1.11419,-0.363116,-0.215918
1.11292,-0.367003,-0.215918
1.11163,-0.370886,-0.215918
1.11033,-0.374764,-0.215918
1.11366,-0.380253,-0.216814
1.11233,-0.384138,-0.216814
1.11562,-0.389666,-0.217709
1.11888,-0.395222,-0.218604
1.03468,-0.139006,-0.192638
1.03906,-0.143319,-0.193533
1.03855,-0.146945,-0.193533
1.03317,-0.149833,-0.192638
1.03264,-0.153439,-0.192638
1.02724,-0.156272,-0.191743
1.03154,-0.160644,-0.192638
1.03583,-0.165048,-0.193533
1.0498,-0.171126,-0.19622
1.05889,-0.176466,-0.19801
1.07273,-0.183101,-0.200697
1.08177,-0.188592,-0.202487
1.08594,-0.193257,-0.203383
1.0901,-0.197954,-0.204278
1.09423,-0.202682,-0.205173
1.09834,-0.207442,-0.206069
1.10169,-0.216079,-0.206964
1.10575,-0.220915,-0.20786
1.10497,-0.224774,-0.20786
1.10899,-0.229655,-0.208755
1.11216,-0.23845,-0.20965
1.11132,-0.242331,-0.20965
1.0666,-0.241955,-0.129238
1.08509,-0.250258,-0.131482
1.10353,-0.258694,-0.133725
1.12581,-0.272372,-0.13653
1.14413,-0.281152,-0.138774
1.13832,-0.283914,-0.138213
1.12771,-0.285393,-0.137091
1.1219,-0.288065,-0.13653
1.11609,-0.290699,-0.135969
1.11506,-0.294593,-0.135969
1.11882,-0.299797,-0.13653
1.12734,-0.306361,-0.137652
1.13105,-0.311641,-0.138213
1.13473,-0.316951,-0.138774
1.13362,-0.32091,-0.138774
1.13611,-0.33023,-0.139335
1.13971,-0.335624,-0.139896
1.13853,-0.3396,-0.139896
1.13734,-0.343573,-0.139896
1.13613,-0.347541,-0.139896
1.13479,-0.3519,-0.139896
1.13356,-0.355859,-0.139896
1.13703,-0.361345,-0.140457
1.13577,-0.365312,-0.140457
1.1392,-0.370839,-0.141018
1.14261,-0.376393,-0.141579
1.14129,-0.38038,-0.141579
1.0311,-0.16376,-0.123628
1.03542,-0.168186,-0.124189
1.02503,-0.170109,-0.123067
1.02376,-0.177619,-0.123067
1.05734,-0.187475,-0.126994
1.06156,-0.19208,-0.127555
1.04624,-0.192989,-0.125872
1.05044,-0.197588,-0.126433
1.04974,-0.201254,-0.126433
1.05318,-0.209577,-0.126994
1.0573,-0.214269,-0.127555
1.05655,-0.217959,-0.127555
1.05578,-0.221645,-0.127555
1.055,-0.225329,-0.127555
1.05421,-0.229011,-0.127555
1.0534,-0.232689,-0.127555
1.04699,-0.141944,-0.274958
1.05608,-0.146879,-0.277485
1.06035,-0.151222,-0.278749
1.0694,-0.156272,-0.281276
1.07358,-0.161068,-0.282539
1.08258,-0.166233,-0.285067
1.09156,-0.171463,-0.287594
1.09573,-0.176015,-0.288857
1.09989,-0.180598,-0.290121
1.10338,-0.189064,-0.291384
1.10271,-0.192915,-0.291384
1.1068,-0.197589,-0.292648
1.1061,-0.201451,-0.292648
1.10942,-0.210044,-0.293911
1.11344,-0.214808,-0.295175
1.11268,-0.218693,-0.295175
1.11666,-0.223501,-0.296439
1.12062,-0.22834,-0.297702
1.12373,-0.237133,-0.298966
1.12678,-0.245981,-0.300229
1.12583,-0.250305,-0.300229
1.1155,-0.252147,-0.297702
1.10989,-0.25498,-0.296439
1.09956,-0.256701,-0.293911
1.09395,-0.259445,-0.292648
1.09304,-0.263263,-0.292648
1.09587,-0.272029,-0.293911
1.09492,-0.275852,-0.293911
1.09395,-0.279672,-0.293911
1.09296,-0.283489,-0.293911
1.09564,-0.292336,-0.295175
1.09929,-0.297399,-0.296439
1.09824,-0.301234,-0.296439
1.10185,-0.306338,-0.297702
1.10544,-0.311472,-0.298966
1.109,-0.316633,-0.300229
1.11255,-0.321824,-0.301493
1.11606,-0.327043,-0.302756
1.11956,-0.33229,-0.30402
1.12303,-0.337566,-0.305283
