x,y,z
1.41068,-0.0210633,0.100594
1.40562,-0.0258726,0.100188
1.40552,-0.0307789,0.100188
1.4054,-0.0356849,0.100188
1.41025,-0.0407574,0.100594
1.41508,-0.0458642,0.101001
1.41491,-0.0508034,0.101001
1.4197,-0.0559612,0.101408
1.42448,-0.0611531,0.101815
1.42425,-0.066125,0.101815
1.42899,-0.0713674,0.102222
1.42873,-0.0763551,0.102222
1.42846,-0.0813418,0.102222
1.42319,-0.0860042,0.101815
1.42288,-0.0909716,0.101815
1.42256,-0.0959378,0.101815
1.42221,-0.100903,0.101815
1.42682,-0.106259,0.102222
1.42644,-0.111239,0.102222
1.43101,-0.116645,0.102628
1.43059,-0.12164,0.102628
1.43016,-0.126633,0.102628
1.41979,-0.130665,0.101815
1.46764,0.0776736,0.164007
1.4679,0.0725497,0.164007
1.46815,0.0674256,0.164007
1.46837,0.0623,0.164007
1.46858,0.0571744,0.164007
1.46877,0.052048,0.164007
1.46895,0.0469203,0.164007
1.4691,0.0417921,0.164007
1.46924,0.036664,0.164007
1.46936,0.0315355,0.164007
1.46946,0.0264059,0.164007
1.4745,0.0213702,0.164617
1.47457,0.0162227,0.164617
1.47462,0.0108215,0.164617
1.47465,0.00541387,0.164617
1.47466,0.000265979,0.164617
1.47465,-0.00488192,0.164617
1.46966,-0.0100169,0.164007
1.46962,-0.0151469,0.164007
1.46956,-0.0202768,0.164007
1.46948,-0.0254063,0.164007
1.46938,-0.0305356,0.164007
1.47422,-0.0357632,0.164617
1.47409,-0.040909,0.164617
1.4789,-0.0461877,0.165226
1.47873,-0.0513497,0.165226
1.4835,-0.0566791,0.165836
1.48329,-0.0618572,0.165836
1.48307,-0.0670345,0.165836
1.48778,-0.0724309,0.166445
1.48752,-0.0776238,0.166445
1.48724,-0.0828157,0.166445
1.48694,-0.0880066,0.166445
1.48663,-0.0931965,0.166445
1.49125,-0.0986917,0.167054
1.49089,-0.103896,0.167054
1.49052,-0.1091,0.167054
1.49508,-0.114661,0.167664
1.49467,-0.119879,0.167664
1.49424,-0.125095,0.167664
1.45413,0.273477,0.165226
1.4502,0.267478,0.164617
1.43648,0.259701,0.162789
1.44226,0.255573,0.163398
1.44315,0.250537,0.163398
1.4489,0.246351,0.164007
1.44975,0.241292,0.164007
1.44569,0.23541,0.163398
1.4465,0.230363,0.163398
1.4473,0.225312,0.163398
1.44808,0.220259,0.163398
1.43412,0.21295,0.16157
1.41522,0.205009,0.159133
1.38223,0.190229,0.154867
1.41795,0.185229,0.159133
1.44811,0.184166,0.162789
1.44382,0.178479,0.162179
1.45428,0.174665,0.163398
1.44995,0.168991,0.162789
1.44561,0.16335,0.162179
1.44617,0.158303,0.162179
1.44671,0.153253,0.162179
1.44726,0.147953,0.162179
1.44777,0.142894,0.162179
1.4532,0.138338,0.162789
1.4537,0.133008,0.162789
1.45909,0.128389,0.163398
1.45953,0.123295,0.163398
1.45996,0.1182,0.163398
1.46036,0.113103,0.163398
1.46074,0.108004,0.163398
1.46111,0.102904,0.163398
1.46146,0.0978045,0.163398
1.4618,0.0927021,0.163398
1.42422,0.0424149,0.0292699
1.42936,0.0375955,0.0294154
1.43947,0.0328765,0.0297063
1.38961,0.0266744,0.0282518
1.38909,-0.0465742,0.0282518
1.4187,-0.0573539,0.0291245
1.3883,-0.0659644,0.0282518
1.35188,0.187952,0.0275245
1.35552,0.159599,0.0275245
1.37592,0.157222,0.0281063
