x,y,z
1.04088,0.262581,-0.19801
1.02745,0.255473,-0.195324
1.03312,0.253026,-0.19622
1.03878,0.250542,-0.197115
1.03965,0.246915,-0.197115
1.04051,0.243284,-0.197115
1.04615,0.240725,-0.19801
1.04699,0.237071,-0.19801
1.0438,0.228733,-0.197115
1.04056,0.22045,-0.19622
1.0365,0.215843,-0.195324
1.03724,0.212224,-0.195324
1.03315,0.207663,-0.194429
1.03387,0.204055,-0.194429
1.03043,0.195943,-0.193533
1.03111,0.192345,-0.193533
1.02693,0.18789,-0.192638
1.02273,0.183466,-0.191743
1.02337,0.179894,-0.191743
1.01913,0.175517,-0.190847
1.01974,0.171959,-0.190847
1.01548,0.167627,-0.189952
1.01119,0.163329,-0.189057
1.01176,0.159798,-0.189057
1.00744,0.155546,-0.188161
1.00798,0.152028,-0.188161
1.0085,0.148509,-0.188161
1.00902,0.144987,-0.188161
1.00464,0.140813,-0.187266
1.00513,0.137305,-0.187266
1.0056,0.133796,-0.187266
1.00118,0.129685,-0.18637
1.00162,0.126189,-0.18637
0.997172,0.122126,-0.185475
0.997593,0.118644,-0.185475
0.99311,0.114629,-0.18458
0.993504,0.111161,-0.18458
0.993886,0.107693,-0.18458
0.994256,0.104223,-0.18458
0.994614,0.100752,-0.18458
0.994994,0.0969321,-0.18458
0.995326,0.0934581,-0.18458
0.995646,0.0899834,-0.18458
1.00086,0.0869012,-0.185475
1.00606,0.0837834,-0.18637
1.01125,0.0806302,-0.187266
1.02134,0.0777846,-0.189057
1.02652,0.0745443,-0.189952
1.03168,0.0712684,-0.190847
1.03683,0.0679574,-0.191743
1.04197,0.0646122,-0.192638
1.04219,0.0609743,-0.192638
1.0424,0.0573358,-0.192638
1.04259,0.053697,-0.192638
1.03786,0.0498524,-0.191743
1.03311,0.046041,-0.190847
1.03327,0.0424347,-0.190847
1.01866,0.0383665,-0.188161
1.01387,0.0346742,-0.187266
0.99923,0.0307771,-0.18458
0.994413,0.0271865,-0.183684
0.994502,0.023715,-0.183684
0.994579,0.0202436,-0.183684
0.994643,0.0167719,-0.183684
0.994696,0.0132996,-0.183684
0.994736,0.00982758,-0.183684
0.999684,0.0063543,-0.18458
0.9997,0.0028647,-0.18458
0.999704,-0.000624929,-0.18458
1.00461,-0.0041669,-0.185475
1.00459,-0.00767363,-0.185475
0.999642,-0.0110936,-0.18458
0.999598,-0.0145829,-0.18458
0.994623,-0.017951,-0.183684
0.996779,0.255946,-0.121945
0.988017,0.25009,-0.120823
1.03234,0.257176,-0.125872
1.02357,0.251264,-0.12475
1.03411,0.249964,-0.125872
1.03982,0.247472,-0.126433
1.04068,0.243841,-0.126433
