x,y,z
2.24761,0.0329545,0.0261692
2.23578,0.0175595,0.0260295
2.22783,0.00972165,0.0259363
2.23585,0.00234163,0.0260295
2.20826,0.00231274,-0.128604
2.21065,0.00231525,-0.0771977
2.20784,-0.00577938,-0.0257035
2.20242,-0.00576518,-0.205592
2.23984,-0.00586314,0.026076
2.21624,-0.00580135,-0.129069
2.21464,-0.00579718,-0.0773373
2.21581,-0.0135356,-0.0257966
2.20238,-0.0134536,-0.205592
2.2162,-0.013538,-0.129069
2.21861,-0.0135527,-0.0774769
2.21975,-0.0209207,-0.0258432
2.20233,-0.0207565,-0.205592
2.22413,-0.020962,-0.129534
2.22366,-0.0291093,-0.0258898
2.2102,-0.0289331,-0.206336
2.25165,-0.0294758,0.0262157
2.23203,-0.0292188,-0.129999
2.23445,-0.0292505,-0.0780353
2.21955,-0.036417,-0.0258432
2.22204,-0.0364578,-0.207451
2.23192,-0.0366199,-0.129999
2.23833,-0.0367252,-0.0781749
2.23541,-0.0444833,-0.0260295
2.21792,-0.0441353,-0.207079
2.23976,-0.04457,-0.130464
2.23819,-0.0445388,-0.0781749
2.23524,-0.0522856,-0.0260295
2.22969,-0.0521559,-0.208195
2.26323,-0.0529403,0.0263554
2.2356,-0.0522941,-0.130231
2.24602,-0.0525377,-0.0784541
2.23904,-0.0601958,-0.026076
2.23746,-0.0601534,-0.208938
2.27502,-0.0611632,0.0264951
2.24738,-0.06042,-0.130929
2.24982,-0.0604855,-0.0785937
2.25082,-0.0679822,-0.0262157
2.23725,-0.0675723,-0.208938
2.27881,-0.0688274,0.0265417
2.24717,-0.0678718,-0.130929
2.2536,-0.0680661,-0.0787333
2.24258,-0.0755687,-0.0261226
2.24496,-0.0756491,-0.209682
2.28255,-0.0769158,0.0265882
2.25889,-0.0761184,-0.131627
2.26134,-0.076201,-0.0790125
2.25429,-0.0838429,-0.0262623
2.25662,-0.0839297,-0.210797
2.29026,-0.0851808,0.0266814
2.2626,-0.084152,-0.131859
2.26106,-0.0840947,-0.0790125
2.26198,-0.0920371,-0.0263554
2.25234,-0.0916449,-0.210425
2.29794,-0.0935006,0.0267745
2.26229,-0.09205,-0.131859
2.26874,-0.0923123,-0.0792917
2.26963,-0.100284,-0.0264485
2.25598,-0.0996808,-0.210797
2.3016,-0.101696,0.0268211
2.26994,-0.100297,-0.132324
2.2724,-0.100406,-0.0794313
2.26527,-0.108016,-0.026402
2.26755,-0.108125,-0.211912
2.22366,0.00271713,0.0388142
2.27755,-0.108601,-0.13279
2.28002,-0.108719,-0.0797105
2.27287,-0.116331,-0.0264951
2.20396,-0.00499976,-0.0128095
2.26716,-0.116039,-0.211912
2.30882,-0.118171,0.0269142
2.20067,-0.00499231,-0.179653
2.21566,-0.0050263,0.0386745
2.27716,-0.11655,-0.13279
2.20497,-0.00500205,-0.115558
2.27962,-0.116677,-0.0797105
2.19503,-0.0126423,-0.0638828
2.28044,-0.124701,-0.0265882
2.21193,-0.0127396,-0.012856
2.2747,-0.124387,-0.212656
2.31239,-0.126449,0.0269608
2.20862,-0.0127206,-0.180304
2.21563,-0.0127609,0.0386745
2.28471,-0.124935,-0.133255
2.21293,-0.0127454,-0.115976
2.2792,-0.124634,-0.0797105
2.19498,-0.020305,-0.0638828
2.28797,-0.133126,-0.0266814
2.1942,-0.0202978,-0.279305
2.20787,-0.0204242,-0.0128327
2.27425,-0.132328,-0.212656
2.32391,-0.135217,0.0271004
2.22052,-0.0205412,-0.18128
2.21957,-0.0205324,0.0387443
2.28426,-0.13291,-0.133255
2.21287,-0.0204705,-0.115976
2.29073,-0.133286,-0.0801292
2.1989,-0.0272497,-0.0639992
2.29553,-0.140803,-0.0267745
2.20603,-0.0273381,-0.280821
2.22779,-0.0276077,-0.0129489
2.27382,-0.139471,-0.212656
2.32348,-0.142517,0.0271004
2.22443,-0.0275661,-0.181606
2.22349,-0.0275544,0.0388142
2.2918,-0.140574,-0.13372
2.21279,-0.0274219,-0.115976
2.29429,-0.140726,-0.0802688
2.20679,-0.0350517,-0.0642319
2.29502,-0.148814,-0.0267745
2.20989,-0.0351009,-0.281326
2.23168,-0.0354471,-0.0129722
2.28525,-0.14818,-0.213771
2.32296,-0.150626,0.0271004
