x,y,z
1.1075,0.0511146,0.0510431
1.10767,0.0472481,0.0510431
1.10886,0.169931,0.0769986
1.09958,0.164642,0.076185
1.11989,0.163569,0.0778123
1.1007,0.156961,0.076185
1.11606,0.15509,0.0774054
1.1166,0.151193,0.0774054
1.12206,0.147917,0.0778123
1.12257,0.144,0.0778123
1.12307,0.14008,0.0778123
1.12355,0.136159,0.0778123
1.11906,0.131683,0.0774054
1.12943,0.128849,0.0782191
1.13483,0.125424,0.0786259
1.14021,0.121964,0.0790327
1.15055,0.118953,0.0798464
1.15592,0.115399,0.0802532
1.16132,0.111412,0.08066
1.1617,0.107358,0.08066
1.15214,0.102475,0.0798464
1.14752,0.0980561,0.0794396
1.14289,0.0936712,0.0790327
1.14321,0.0896815,0.0790327
1.14351,0.0856901,0.0790327
1.14878,0.082025,0.0794396
1.15403,0.0783237,0.0798464
1.1145,0.0719585,0.0765918
1.09484,0.0669691,0.0749645
1.09009,0.0628894,0.0745577
1.06044,0.0576438,0.0721168
1.06063,0.0539421,0.0721168
1.06081,0.0502396,0.0721168
1.12074,0.04879,0.0769986
1.17071,0.0465823,0.0810669
1.17087,0.0424952,0.0810669
1.16602,0.0382724,0.08066
1.15121,0.0338474,0.0794396
1.14135,0.0296266,0.0786259
1.13148,0.0254751,0.0778123
1.12658,0.0214595,0.0774054
1.12665,0.0175271,0.0774054
1.1267,0.0135939,0.0774054
1.12674,0.00966116,0.0774054
1.12677,0.00572787,0.0774054
1.12678,0.00179468,0.0774054
1.12678,-0.00213856,0.0774054
1.12677,-0.00607174,0.0774054
1.13172,-0.0100779,0.0778123
1.13667,-0.0141188,0.0782191
1.14159,-0.0181942,0.0786259
1.13654,-0.0220538,0.0782191
1.16136,-0.026734,0.0802532
1.16624,-0.0309478,0.08066
1.17111,-0.0351959,0.0810669
1.17083,-0.0433709,0.0810669
1.17565,-0.0476871,0.0814737
1.1705,-0.0515437,0.0810669
1.18027,-0.0561578,0.0818805
1.17509,-0.0599957,0.0814737
1.17985,-0.0643962,0.0818805
1.17464,-0.0681978,0.0814737
1.1744,-0.0722977,0.0814737
1.17414,-0.0763966,0.0814737
1.17386,-0.0804947,0.0814737
1.17357,-0.0845917,0.0814737
1.16831,-0.0882846,0.0810669
1.16799,-0.0923622,0.0810669
1.1627,-0.0960009,0.08066
1.15739,-0.0996038,0.0802532
1.15208,-0.103171,0.0798464
1.14675,-0.106702,0.0794396
1.15133,-0.111211,0.0798464
1.15589,-0.115754,0.0802532
1.16043,-0.12033,0.08066
1.169,-0.133662,0.0814737
1.16853,-0.137742,0.0814737
1.1631,-0.141192,0.0810669
1.1626,-0.145251,0.0810669
1.16208,-0.149308,0.0810669
1.16156,-0.153364,0.0810669
1.16101,-0.157417,0.0810669
1.16046,-0.161469,0.0810669
1.15496,-0.164787,0.08066
1.15437,-0.168818,0.08066
1.14885,-0.17208,0.0802532
1.14332,-0.175307,0.0798464
1.14271,-0.179297,0.0798464
1.14207,-0.183284,0.0798464
1.14143,-0.18727,0.0798464
1.14568,-0.192108,0.0802532
1.14493,-0.196502,0.0802532
1.14424,-0.200497,0.0802532
1.13863,-0.203586,0.0798464
1.13791,-0.207559,0.0798464
1.13229,-0.210591,0.0794396
1.13643,-0.215498,0.0798464
1.1259,-0.217517,0.0790327
1.15932,-0.228377,0.0818805
1.17041,0.0598197,0.127447
1.17061,0.0557336,0.127447
1.1708,0.0516473,0.127447
1.17097,0.0475598,0.127447
1.17113,0.0434724,0.127447
1.17127,0.0393843,0.127447
1.1714,0.0352953,0.127447
1.17152,0.0312058,0.127447
1.17162,0.0271165,0.127447
1.17171,0.0230268,0.127447
1.17178,0.0189364,0.127447
1.17184,0.0148462,0.127447
1.17189,0.0107553,0.127447
1.17192,0.00666486,0.127447
1.17193,0.00257377,0.127447
1.17193,-0.00151681,0.127447
1.17192,-0.00560792,0.127447
1.17189,-0.00969841,0.127447
1.17185,-0.013789,0.127447
1.1718,-0.0178795,0.127447
1.17173,-0.0219697,0.127447
1.17164,-0.026261,0.127447
1.17154,-0.0305583,0.127447
1.17142,-0.0346475,0.127447
1.17129,-0.0387363,0.127447
1.17115,-0.0428247,0.127447
1.171,-0.0469125,0.127447
1.17082,-0.0509997,0.127447
1.17064,-0.0550864,0.127447
1.17044,-0.0591723,0.127447
1.17023,-0.0632576,0.127447
1.17,-0.067342,0.127447
1.16976,-0.0714257,0.127447
1.1695,-0.0755084,0.127447
1.17418,-0.0799002,0.128056
1.1739,-0.0839984,0.128056
1.1736,-0.0880955,0.128056
1.17823,-0.0925533,0.128665
1.1779,-0.0966655,0.128665
1.17261,-0.10038,0.128056
1.17225,-0.104473,0.128056
1.13233,-0.105118,0.123181
1.07759,-0.104141,0.116478
1.09204,-0.109298,0.118306
1.09165,-0.113109,0.118306
1.10112,-0.117918,0.119525
1.13526,-0.125381,0.123791
1.15948,-0.132014,0.126837
1.16888,-0.137163,0.128056
1.17332,-0.141811,0.128665
1.17282,-0.145906,0.128665
1.17723,-0.150602,0.129275
1.17667,-0.154913,0.129275
1.18101,-0.159867,0.129884
1.18045,-0.163988,0.129884
1.17987,-0.168108,0.129884
1.17928,-0.172225,0.129884
1.17867,-0.176341,0.129884
1.17313,-0.179729,0.129275
1.1725,-0.183823,0.129275
1.17185,-0.187915,0.129275
1.17119,-0.192004,0.129275
1.17051,-0.196091,0.129275
1.17472,-0.200986,0.129884
1.17401,-0.205086,0.129884
1.17328,-0.209182,0.129884
1.17743,-0.214138,0.130493
1.17198,0.187087,0.129275
1.18733,0.185371,0.131103
1.17326,0.178901,0.129275
1.17878,0.175562,0.129884
1.17939,0.171446,0.129884
1.17998,0.167328,0.129884
1.18056,0.163209,0.129884
1.18112,0.159086,0.129884
1.18167,0.154962,0.129884
1.1822,0.150837,0.129884
1.1778,0.146072,0.129275
1.1783,0.14196,0.129275
1.17386,0.137243,0.128665
1.16941,0.132558,0.128056
1.16986,0.128476,0.128056
1.18019,0.125292,0.129275
1.19051,0.122027,0.130493
1.17652,0.112218,0.128665
1.1769,0.108111,0.128665
1.17233,0.103538,0.128056
1.17269,0.0994452,0.128056
1.17303,0.0953519,0.128056
1.17335,0.0912564,0.128056
1.17367,0.0871598,0.128056
1.17396,0.0830626,0.128056
1.17425,0.0789645,0.128056
1.17451,0.0748648,0.128056
1.17477,0.0707648,0.128056
1.17501,0.0666633,0.128056
1.08905,0.0454695,0.0195246
1.0942,0.0418868,0.0196701
1.09933,0.0382688,0.0198155
1.10445,0.0346149,0.019961
1.10956,0.0309257,0.0201064
1.11466,0.0272018,0.0202519
1.10975,0.0231793,0.0201064
1.10483,0.0191908,0.019961
1.09989,0.0152376,0.0198155
1.09494,0.0113185,0.0196701
1.09997,0.00755851,0.0198155
1.09999,0.00371907,0.0198155
1.10499,-9.38741e-05,0.019961
1.10499,-0.0039513,0.019961
1.09997,-0.00780025,0.0198155
1.09993,-0.0116398,0.0198155
1.09489,-0.0154365,0.0196701
1.08983,-0.0191981,0.0195246
1.08976,-0.0230022,0.0195246
1.09457,-0.030722,0.0196701
1.10943,-0.0353153,0.0201064
1.12429,-0.0396396,0.0205428
1.15911,-0.0447299,0.0215609
1.12381,-0.0514107,0.0205428
1.10864,-0.0546766,0.0201064
1.10777,-0.0701503,0.0201064
1.11251,-0.0743227,0.0202519
1.11224,-0.0782057,0.0202519
1.11695,-0.0824284,0.0203973
1.11666,-0.0863268,0.0203973
1.11136,-0.0898485,0.0202519
1.10606,-0.0933344,0.0201064
1.10075,-0.0967843,0.019961
1.11296,-0.125245,0.0203973
1.15179,-0.137545,0.0215609
1.11655,-0.137477,0.0205428
1.11111,-0.140772,0.0203973
1.0675,0.163882,0.0192337
1.06806,0.160154,0.0192337
1.06862,0.156425,0.0192337
1.06421,0.151959,0.0190883
1.06474,0.148244,0.0190883
1.06525,0.144526,0.0190883
1.06575,0.140807,0.0190883
1.06623,0.137086,0.0190883
1.07166,0.134011,0.0192337
1.07212,0.130269,0.0192337
1.07257,0.126526,0.0192337
1.073,0.122781,0.0192337
1.07343,0.119035,0.0192337
1.07383,0.115288,0.0192337
1.07423,0.111539,0.0192337
1.07461,0.107788,0.0192337
1.07502,0.103666,0.0192337
1.08069,0.0966264,0.0193792
1.08102,0.0928537,0.0193792
1.08134,0.0890794,0.0193792
1.08164,0.0853045,0.0193792
1.08194,0.0815286,0.0193792
1.08221,0.0777511,0.0193792
1.1276,0.0733557,0.0206882
1.17273,0.0724235,0.0219973
1.17796,0.0686456,0.0221428
1.08379,0.0512871,0.0193792
1.10844,0.126192,0.00779907
1.11276,0.079664,0.00779907
1.11303,0.0757795,0.00779907
1.13823,0.07345,0.00823539
1.11432,0.115656,0.00130334
1.05349,0.048406,0.0296088
1.08841,-0.215631,0.0318134
1.09254,-0.220445,0.0320138
1.08199,-0.222191,0.0316129
1.03785,-0.111207,0.047264
1.04242,-0.115351,0.0475547
1.1406,-0.149616,-0.00445283
1.08467,-0.0267109,0.0193792
1.09846,-0.0580735,0.0198155
1.09542,-0.100198,0.0198155
1.09009,-0.103576,0.0196701
1.08972,-0.107381,0.0196701
1.08934,-0.111184,0.0196701
1.09392,-0.115483,0.0198155
1.09351,-0.119301,0.0198155
1.09077,-0.142175,0.0198155
1.08531,-0.145346,0.0196701
1.0848,-0.149134,0.0196701
1.08917,-0.153966,0.0198155
1.08862,-0.157771,0.0198155
1.08807,-0.16157,0.0198155
1.08255,-0.164643,0.0196701
1.08197,-0.168421,0.0196701
1.08137,-0.172197,0.0196701
1.08077,-0.17597,0.0196701
1.08015,-0.179742,0.0196701
1.08444,-0.184321,0.0198155
1.08379,-0.188106,0.0198155
1.08313,-0.191888,0.0198155
1.08245,-0.195667,0.0198155
1.08176,-0.199445,0.0198155
1.08598,-0.204116,0.019961
1.08526,-0.207905,0.019961
1.08453,-0.211692,0.019961
1.08869,-0.216424,0.0201064
1.08793,-0.220223,0.0201064
1.08636,-0.227813,0.0201064
1.04349,0.05646,0.0182155
1.07362,0.054507,0.0190883
1.05926,-0.0517275,0.0127371
1.06407,-0.0556776,0.0128534
1.06386,-0.0593915,0.0128534
1.06864,-0.0633925,0.0129697
1.06841,-0.0671224,0.0129697
1.06817,-0.0708514,0.0129697
1.06792,-0.0745796,0.0129697
1.06765,-0.0783069,0.0129697
1.06737,-0.0820332,0.0129697
1.06708,-0.0857585,0.0129697
1.07176,-0.0898924,0.013086
1.07143,-0.093633,0.013086
1.0711,-0.0973724,0.013086
1.07076,-0.101111,0.013086
1.07537,-0.105327,0.0132023
1.075,-0.10908,0.0132023
1.07461,-0.112832,0.0132023
1.07421,-0.116582,0.0132023
1.0738,-0.120331,0.0132023
1.07337,-0.124079,0.0132023
1.07293,-0.127825,0.0132023
1.07739,-0.132542,0.0133187
1.07692,-0.136306,0.0133187
1.07644,-0.140064,0.0133187
1.0809,-0.144475,0.013435
1.08039,-0.148247,0.013435
1.08482,-0.152706,0.0135513
1.08428,-0.156492,0.0135513
1.08373,-0.160276,0.0135513
1.08316,-0.164058,0.0135513
1.08258,-0.167838,0.0135513
1.08199,-0.171615,0.0135513
1.08138,-0.175391,0.0135513
1.08076,-0.179165,0.0135513
1.08013,-0.182936,0.0135513
1.07949,-0.186706,0.0135513
1.07883,-0.190473,0.0135513
1.07816,-0.194237,0.0135513
1.07747,-0.198,0.0135513
1.07677,-0.201759,0.0135513
1.07606,-0.205517,0.0135513
1.07534,-0.209272,0.0135513
1.0746,-0.213024,0.0135513
1.07909,0.0555335,0.0132023
1.0749,0.0365145,0.013086
1.07002,0.0326014,0.0129697
1.06513,0.0287233,0.0128534
1.06023,0.0248797,0.0127371
1.06031,0.0211784,0.0127371
1.06038,0.0174773,0.0127371
