x,y,z
2.15136,1.26523,-0.0290561
2.16246,1.26212,-0.0291493
2.15646,1.24855,-0.0290096
2.21877,1.28463,0.0298477
2.15756,1.23865,-0.028963
2.22,1.27449,0.0298012
2.1547,1.22753,-0.0288699
2.22421,1.26712,0.0298012
2.15201,1.21606,-0.0287768
2.22253,1.2457,0.0296615
2.14646,1.19324,-0.0285905
2.22337,1.23599,0.0296149
2.12434,1.18094,-0.0848756
2.21717,1.22243,0.0294752
2.12495,1.17158,-0.084736
2.15533,1.16879,-0.0285439
2.21861,1.20311,0.0293821
2.12253,1.151,-0.0843172
2.15587,1.15936,-0.0284974
2.2228,1.19535,0.0293821
2.13006,1.14548,-0.0844568
2.15244,1.14882,-0.0284042
2.22654,1.18837,0.0293821
2.12659,1.13502,-0.0841776
2.15291,1.13942,-0.0283577
2.22361,1.17684,0.029289
2.12347,1.12385,-0.0838984
2.15333,1.13004,-0.0283111
2.16115,1.27251,-0.0145763
2.22062,1.16536,0.0291958
2.12031,1.11271,-0.0836192
2.15016,1.11883,-0.028218
2.15177,1.25689,-0.0144833
2.22822,1.15944,0.0292424
2.12418,1.1053,-0.0836192
2.15406,1.11132,-0.028218
2.22515,1.14799,0.0291493
2.19391,1.27126,0.0442593
2.26159,1.31047,0.10649
2.10761,1.21144,-0.0707482
2.15436,1.10197,-0.0281714
2.15702,1.23984,-0.01446
2.22202,1.13658,0.0290561
2.20874,1.26957,0.0444687
2.27308,1.30655,0.106816
2.12472,1.08681,-0.08334
2.10488,1.20012,-0.0705155
2.15106,1.09082,-0.0280783
2.16481,1.23428,-0.0144833
2.21527,1.12339,0.0289165
2.19578,1.25195,0.0441197
2.23943,1.27683,0.105025
2.1392,1.08481,-0.0837588
2.1021,1.18883,-0.0702827
2.14771,1.07972,-0.0279852
2.15866,1.22081,-0.0144135
2.22275,1.11744,0.028963
2.19666,1.24231,0.0440499
2.23344,1.26311,0.104536
2.1664,1.21523,-0.0144368
2.22664,1.10968,0.028963
2.20447,1.23659,0.0441197
2.23087,1.25139,0.104211
2.12883,1.06093,-0.0830608
2.10685,1.17218,-0.0701664
2.16363,1.20377,-0.0143903
2.22333,1.09835,0.0288699
2.19829,1.22305,0.0439103
2.22823,1.23971,0.103885
2.11819,1.04641,-0.0825024
2.19904,1.21344,0.0438404
2.23255,1.23193,0.103885
2.12542,1.04077,-0.082642
2.15178,1.04438,-0.0278455
2.17549,1.19055,-0.0144135
2.22015,1.07757,0.0287302
2.19625,1.20191,0.0437008
2.22632,1.21837,0.103397
2.10475,1.14279,-0.0697009
2.15523,1.03724,-0.0278455
2.16888,1.17761,-0.0143438
2.18968,1.1889,0.0434914
2.23035,1.21098,0.103397
